COLUMN_1 COLUMN_2 COLUMN_3 COLUMN_4 COLUMN_5 COLUMN_6 COLUMN_7 COLUMN_8 COLUMN_9 COLUMN_10 COLUMN_11 COLUMN_12
214.610 8.56569E-19 8.81633E-19 9.46076E-19 9.39501E-19 9.27665E-19 9.11013E-19 9.16269E-19 8.77870E-19 9.95595E-19 9.52543E-19 9.94829E-19
214.620 8.98780E-19 8.66535E-19 9.37335E-19 9.03902E-19 9.12951E-19 8.28206E-19 1.00696E-18 9.50097E-19 9.95352E-19 9.25305E-19 9.79799E-19
214.630 9.03247E-19 9.07534E-19 9.17630E-19 8.92195E-19 9.20819E-19 8.61663E-19 9.43718E-19 8.97902E-19 9.86925E-19 9.05667E-19 9.82899E-19
214.640 8.93951E-19 9.22686E-19 9.24499E-19 9.18007E-19 9.28548E-19 8.91074E-19 9.29053E-19 8.41865E-19 9.68429E-19 8.94937E-19 9.33117E-19
214.650 9.19664E-19 8.88043E-19 9.65187E-19 9.19936E-19 9.25988E-19 9.50005E-19 9.42653E-19 8.96132E-19 1.00472E-18 9.12638E-19 9.73941E-19
214.660 8.47598E-19 9.04539E-19 9.50898E-19 9.57574E-19 9.06248E-19 9.43352E-19 8.80202E-19 8.62559E-19 9.79855E-19 9.76803E-19 9.73439E-19
214.670 8.24102E-19 9.32908E-19 1.01274E-18 9.48383E-19 8.73184E-19 9.04332E-19 9.44391E-19 9.22027E-19 9.61627E-19 9.19232E-19 9.62598E-19
214.680 8.17891E-19 9.58190E-19 9.77326E-19 9.64249E-19 8.99025E-19 8.60388E-19 9.80745E-19 9.02752E-19 1.00709E-18 9.33880E-19 9.40465E-19
214.690 8.66402E-19 9.10521E-19 9.32526E-19 9.71991E-19 8.58301E-19 9.01647E-19 9.92336E-19 9.13765E-19 1.00785E-18 9.01520E-19 9.75254E-19
214.700 9.27860E-19 9.24471E-19 8.53180E-19 9.41116E-19 8.73388E-19 8.87367E-19 1.03710E-18 8.78069E-19 1.00366E-18 8.60393E-19 1.00635E-18
214.710 8.04561E-19 9.01929E-19 9.28806E-19 9.51687E-19 9.29820E-19 8.87607E-19 9.35815E-19 8.87302E-19 1.00062E-18 8.62769E-19 1.00866E-18
214.720 8.25837E-19 9.51944E-19 9.46371E-19 9.21778E-19 9.21313E-19 9.14645E-19 9.94696E-19 8.83695E-19 9.49517E-19 9.15856E-19 1.01702E-18
214.730 8.33474E-19 9.18450E-19 9.71601E-19 9.21707E-19 9.49910E-19 9.15029E-19 9.83404E-19 9.12746E-19 9.48382E-19 9.33845E-19 9.87172E-19
214.740 8.16756E-19 8.58494E-19 9.72200E-19 9.35475E-19 9.27798E-19 9.08266E-19 9.67724E-19 8.80016E-19 1.01069E-18 8.89878E-19 9.61666E-19
214.750 8.27830E-19 8.70247E-19 1.00176E-18 8.38513E-19 8.70840E-19 9.15054E-19 1.00646E-18 9.31432E-19 9.93308E-19 9.56316E-19 9.87730E-19
214.760 8.62891E-19 9.31367E-19 9.02243E-19 9.27729E-19 9.16256E-19 8.58405E-19 9.55394E-19 9.40244E-19 9.83766E-19 9.22590E-19 1.00855E-18
214.770 8.61250E-19 9.59590E-19 9.74505E-19 9.42005E-19 9.14276E-19 9.01613E-19 9.82337E-19 9.24621E-19 9.98148E-19 9.37074E-19 9.96201E-19
